Project Name,Package Name,Type Name,Code Smell
..,org.apache.roller.weblogger.planet.business,WebloggerRomeFeedFetcherTest,Unutilized Abstraction
..,org.apache.roller.weblogger.planet.business,WebloggerRomeFeedFetcherTest,Deficient Encapsulation
..,org.apache.roller.weblogger.planet.tasks,RefreshRollerPlanetTask,Deficient Encapsulation
..,org.apache.roller.weblogger.planet.tasks,SyncWebsitesTask,Deficient Encapsulation
..,org.apache.roller.weblogger.planet.ui,PlanetConfig,Unutilized Abstraction
..,org.apache.roller.weblogger.planet.ui,PlanetConfig,Broken Hierarchy
..,org.apache.roller.weblogger.planet.ui,PlanetConfig,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.planet.ui,PlanetGroups,Unutilized Abstraction
..,org.apache.roller.weblogger.planet.ui,PlanetGroups,Broken Hierarchy
..,org.apache.roller.weblogger.planet.ui,PlanetGroupSubs,Unutilized Abstraction
..,org.apache.roller.weblogger.planet.ui,PlanetGroupSubs,Broken Hierarchy
..,org.apache.roller.weblogger.planet.ui,PlanetUIAction,Unutilized Abstraction
..,org.apache.roller.weblogger.planet.ui,PlanetUIAction,Deficient Encapsulation
..,org.apache.roller.weblogger.pojos,AutoPing,Deficient Encapsulation
..,org.apache.roller.weblogger.pojos,CommentSearchCriteria,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.pojos,CustomTemplateRendition,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.pojos,GlobalPermission,Deficient Encapsulation
..,org.apache.roller.weblogger.pojos,GlobalPermission,Unexploited Encapsulation
..,org.apache.roller.weblogger.pojos,GlobalPermission,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.pojos,MediaFile,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.pojos,MediaFile,Insufficient Modularization
..,org.apache.roller.weblogger.pojos,MediaFileComparator,Unutilized Abstraction
..,org.apache.roller.weblogger.pojos,MediaFileDirectoryComparator,Unutilized Abstraction
..,org.apache.roller.weblogger.pojos,OAuthAccessorRecord,Insufficient Modularization
..,org.apache.roller.weblogger.pojos,PingQueueEntry,Deficient Encapsulation
..,org.apache.roller.weblogger.pojos,PingTarget,Deficient Encapsulation
..,org.apache.roller.weblogger.pojos,RuntimeConfigProperty,Deficient Encapsulation
..,org.apache.roller.weblogger.pojos,StaticTemplate,Unutilized Abstraction
..,org.apache.roller.weblogger.pojos,StaticThemeTemplate,Unutilized Abstraction
..,org.apache.roller.weblogger.pojos,StaticThemeTemplate,Insufficient Modularization
..,org.apache.roller.weblogger.pojos,TagStatComparator,Unutilized Abstraction
..,org.apache.roller.weblogger.pojos,ThemeTemplate,Broken Hierarchy
..,org.apache.roller.weblogger.pojos,User,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.pojos,User,Insufficient Modularization
..,org.apache.roller.weblogger.pojos,UserRole,Deficient Encapsulation
..,org.apache.roller.weblogger.pojos,Weblog,Deficient Encapsulation
..,org.apache.roller.weblogger.pojos,Weblog,Cyclic-Dependent Modularization
..,org.apache.roller.weblogger.pojos,Weblog,Insufficient Modularization
