component,smell_count
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/CategoryRemove.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/BookmarksImport.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/Categories.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/filters/ValidateSaltFilter.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/plugins/UIPluginManagerImpl.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/ajax/UserDataServlet.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/wrapper/WeblogEntryWrapper.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/WeblogEntryTagAggregate.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/WeblogPermission.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/WeblogEntryTag.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/core/OAuthKeys.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/SiteModel.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/filters/DebugFilter.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/filters/IPBanFilter.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/filters/InitFilter.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/ModelLoader.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/tags/calendar/CalendarModel.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/filters/LoadSaltFilter.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/filters/RoleAssignmentFilter.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/velocity/ThemeResourceLoader.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/plugins/comments/TrackbackLinkbackCommentValidator.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/pagers/WeblogsPager.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/pagers/AbstractPager.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/filters/PersistenceSessionFilter.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/PreviewURLModel.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/ParsedRequest.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/ResourceServlet.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/RollerException.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/WeblogRequest.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/SearchServlet.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/cache/PlanetCache.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/business/updater/SingleThreadedFeedUpdater.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/business/jpa/JPAPlanetManagerImpl.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/business/fetcher/RomeFeedFetcher.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/business/Manager.java,2
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/business/Planet.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/business/jpa/JPAPlanetImpl.java,1
